Item Number,Description,MSC#,Item Group,Item Sub Group,Supplier,Supplier Part Number,Brand,Unit Cost
159,0.3750 3/8x3/8x7/8 .060 EXO AERO 4FL SC HP EM,64554694,Milling,CornerRadius&CornerChamferEndMills,MSC,205204411,OSG,44.45
254,0.1610 5510 NO.20 140D WD1 OSG CRB 5XD CLNT DR,50980341,,,MSC,551016111,OSG,74.45
255,0.2175    CARBIDE TIPPED REAMER,82021759,,,MSC,2400.2175,ROCK RIVER,75.94
256,"0.2031 5525 13/64"""" 140D FIREX CRB 12XD CLNT DR",63217145,,,MSC,9.06E+12,GUHRING,185.1
257,0.1615 STR SHK STR FL  CRB DEC CK RMR,45674884,,,MSC,45674884,HERTEL,44.47
1001,"0.1563 Ball Mill, SC, 3/16 LOC, 2 OAL, 4 Fl, TiAlN",85611887,,,MSC,60710,,26.53
1002,"0.1875 -Endmill, 3/16"", 9/16"", 2"", 2, Ball, Finish, Uncoated, Aluminum",44867059,,,MSC,42582,,20.16
1003,"0.5000 -EM, 1/2"", 3"", 3, BALL, FIN, CARBIDE, TICN, AL",9750019,,,MSC,,,74.54
1004,8.0000 .022 120 GRIT WEILER NYLOX WHEEL,82072968,Abrasives,WheelBrushes,MSC,,,107.86
1005,0.0469 -#1 Long Center Drill,67450239,,,MSC,67450239,,46.03
1006,0.1875 -#2 60D HSS KEO PLAIN TYPE CMB DR&CSK,1031327,,,MSC,,,6.54
1007,0.2500 x2-1/2 82DEG TICN SC 4FL SE CHAMFER TOOL,9550682,Holemaking,,MSC,,,28.08
1008,0.2500  90DEG CARBIDE 4FL CHAMFER ENDMILL QIA,82906926,Holemaking,ChamferMills,MSC,76600,,31
1009,"0.2500 2-1/2"""" NIAGARA 4F SC 60DEG CHMFR EM",62625678,Holemaking,ChamferMills,MSC,76596,,32.24
1010,0.5000 1/2x3 90DEG TICN SC 2FL SE CHAMFER TOOL,9550500,Holemaking,ChamferMills,MSC,,,62.01
1011,GFR4 4D IC-354 ISCAR CUT OFF INSERTS,60802477 - cant return,INSERTS,,Central,,,13.81
1012,E-200 HS BL.F/BR/CL F/ VARGUS TWIST-A-BURR,5751334,Abrasives,UnmountedBuffingWheels,MSC,,,3.35
1013,0.0945 SC Drill,Inactive,DRILL,,Central,VDS403A02400,,0
1014,0.0955 Long Drill,Basic Line,DRILL,,Central,HF3-122712-010,Tungsten Toolworks,0
1015,0.0984 2.50mm 135D 15XD CARB CLNT MICRO DR,63897128,,,MSC,,,127.82
1016,0.1065 Drill- Long,59926766,IndexableCuttingTools,ShimsForIndexables,MSC,,,17.33
1017,"0.1094 7/64"""" SC Drill",Inactive,DRILL,,Central,VDS401A02779,,0
1018,"0.1250 1/8"""" SC Drill",,DRILL,,Central,MZS01250MB VP15TF,,0
1019,"0.1285 """"#30"""" Drill",78562212,IndexableCuttingTools,SpadeDrillInserts,MSC,78562212,,5.81
1020,0.1378 3.50mm 140D WD1 CTD OSG CARB 5XD CLNT DR,50980630,,,MSC,,,70.51
1021,0.1563 -5/32X1 3/8X 2 1/2 OAL SGS S/CARB 3 FLT DRILLS,1324102,,,MSC,,,31.21
1022,0.1875 -3/16X1 5/8X2 3/4 OAL SGS S/CARB 3 FLT DRILLS,1324128,,,MSC,,,37
1023,"0.2007 5.10mm Carbide Drill, Guhring",85972487,,,MSC,9.01E+12,GUHRING INC (CARBIDE),54.09
1024,0.2210 -103 #2 3FL CARB JOBBER DRILL,35499490,,,MSC,,,44.85
1025,0.2402 6.10mm SC Drill,Inactive,DRILL,,Central,VDS403A06100 WU25PD,,0
1026,"0.2420 6.20mm Guhring Solid Carbide Drill, Al",85972818,,,MSC,9.01E+12,GUHRING INC (CARBIDE),65.58
1027,0.2570 -103 LTR F 3FL CARB JOBBER DRILL,60668175,,,MSC,53206,,51.85
1028,0.2720 -103 LTR I 3FL CARB JOBBER DRILL,83158634,,,MSC,,,57.92
1029,0.2813 -9/32X2 1/8X3 1/2 OAL SGS S/CARB 3 FLT DRILLS,1324185,,,MSC,,,58.67
