Item Number,Description,MSC#,Item Group,Item Sub Group,Supplier,Supplier Part Number,Brand,Unit Cost
2224,"6"" Long, Second Cut, Flat American-Pattern File Double Cut, 5/32"" Overall Thickness, Tang",80757156,Abrasives,American-PatternFiles,,03500N,Nicholson,11.4
Wheel001,"6.0000 Aluminum Oxide Cutoff Wheel 0.045"" Thick, 7/8"" Arbor, 10,185 Max RPM, Use with Angle Grinders",6408355,Abrasives,CutoffWheels,,66252823604,Norton,3.61
1449,"6"""" - FIN Grit - Silicon Carbide - Convolute EXL Deburring Wheel",Production Tool,Abrasives,DeburringWheels,Central,TM2309548,3M,51.55
1565,6 Inch Diameter x 1/2 Inch Wide x 1 Inch Hole Deburring Wheel,1174721,Abrasives,DeburringWheels,MSC,48011095486,3M,57.86
1623,6.0000 Inch Diameter x 1/2 Inch Wide x 1 Inch Hole Heavy Duty Deburring Wheel,81243834,Abrasives,DeburringWheels,MSC,66261114607,BRITE STAR,44.72
1419,410 GA Chamber Brush,Pro-Shot,Abrasives,DiscBrushes,Central,PG410,Pro-Shot,13.13
1605,"2"" Burr-Rx Disc Brush, High, Aggression .055/80",85733-WEI (Iwen),Abrasives,DiscBrushes,Central,85733-WEI,Weiler,0
1749,"2.0000 2"" Diam, 50 Grit, Ceramic, Tapered Bristle Disc",222752,Abrasives,DiscBrushes,MSC,48011187303,3M ABRASIVES.,10.16
1624,"2.0000 Inch Diameter, 60 Grit Aluminum Oxide Quick Change Disc",222596,Abrasives,QuickChangeDiscs,MSC,51144224005,3M,1.0216
1012,E-200 HS BL.F/BR/CL F/ VARGUS TWIST-A-BURR,5751334,Abrasives,Swivel&ScraperBlades,MSC,,,3.35
1706,"0.5000 Brush, 3.5 OAL, 120 Grit",63764856,Abrasives,TubeBrush,Central,21759,Weiler,0
1707,"0.2600 Nylox Micro Abrasive Tube Brush, Stem 0.115",26909 (Iwen),Abrasives,TubeBrush,Central,26909,Weiler,0
1710,"1.5000"""" Bore-Rx Internal Brush",17211-WEI (Iwen),Abrasives,TubeBrush,Central,17211,Weiler,0
1711,"1.2500"""" Bore-Rx Internal Brush",17210-WEI (Iwen),Abrasives,TubeBrush,Central,17210,Weiler,0
1712,"1.0000"" Power Tube Brush, 0.008 SS Wire Fill",21087-WEI (Iwen),Abrasives,TubeBrush,Central,21087,Weiler,0
1666,8.0000 Inch Diameter x 1/2 Inch Thick Unmounted Buffing Wheel,533463,Abrasives,UnmountedBuffingWheels,MSC,52640-8,Dico,21.34
1004,8.0000 .022 120 GRIT WEILER NYLOX WHEEL,82072968,Abrasives,WheelBrushes,MSC,,,107.86
1669,6.000 HS Flex-N-Finish Abrasive Wheel,53187-2-PREFER (Iwen),Abrasives,WheelBrushes,Central,53187-2,Preferred Abrasives,0
1793,"6.0000 Brush, Brass Wheel, 0.005 Filament",75843599,Abrasives,WheelBrushes,MSC,1415,WEILER CO.,67.25
1815,"6.000 152.40mm OD x 5/8"" Face Width, 5/8 - 11 Arbor Hole Thread, Crimped Stainless Steel Wheel Brush 0.0118"" Filament, 1"" Trim Length, 9000 Max RPM",41778382,Abrasives,WheelBrushes,,13J614,,31.53
1374,1.0000 -80mm Collet,,"Clamping,Workholding&Positioning",Collet,,,,0
1375,1.1250 -80mm Collet,,"Clamping,Workholding&Positioning",Collet,,,,0
1376,.6875 -80mm Collet,,"Clamping,Workholding&Positioning",Collet,,,,0
1377,1.8750 -80mm Serrated Collet,,"Clamping,Workholding&Positioning",Collet,,,,0
